Pixibranche;Ingen anmærkninger;Indskærpelse;Påbud eller forbud;Bødeforlæg, politianmeldelse m.m.;sum;:D;:);:/;:(
Dagligvarer;16343;1609;68;182;18202;0,897868366113614;0,0883968794637952;0,00373585320294473;0,00999890121964619
Lagre og grossister uden produktion;10129;803;52;83;11067;0,915243516761543;0,0725580554802566;0,00469865365501039;0,00749977410318966
Restauranter, pizzeriaer, kantiner m.m.;52199;3764;82;409;56454;0,924628901406455;0,0666737520813406;0,00145251000814823;0,0072448365040564
Øvrige;984;64;2;3;1053;0,934472934472934;0,0607787274453941;0,00189933523266857;0,00284900284900285
Emballager m.v.;1411;45;1;0;1457;0,968428277282086;0,030885380919698;0,000686341798215511;0
Fabriksfartøjer;186;3;0;0;189;0,984126984126984;0,0158730158730159;0;0
Fisk og muslinger m.m.;802;45;4;4;855;0,938011695906433;0,0526315789473684;0,00467836257309942;0,00467836257309942
Fiske- og vildtforretninger, fiskeafdelinger;1461;74;1;18;1554;0,94015444015444;0,0476190476190476;0,000643500643500643;0,0115830115830116
Frugt- og grøntforretninger;865;100;2;21;988;0,875506072874494;0,101214574898785;0,00202429149797571;0,0212550607287449
Frugt og grøntsager (forarbejdning, konservering);421;28;3;2;454;0,927312775330396;0,0616740088105727;0,0066079295154185;0,00440528634361234
Hospitals- og institutionskøkkener;4568;122;0;6;4696;0,972742759795571;0,0259795570698467;0;0,00127768313458262
Keramikere og anden emballage;379;33;0;1;413;0,917675544794189;0,0799031476997579;0;0,00242130750605327
Kiosker;4014;291;19;47;4371;0,918325326012354;0,0665751544269046;0,00434683138869824;0,010752688172043
Kosttilskud og særlig ernæring;131;4;0;1;136;0,963235294117647;0,0294117647058824;0;0,00735294117647059
Krydderier;95;4;0;0;99;0,95959595959596;0,0404040404040404;0;0
Kødprodukter;781;43;2;4;830;0,940963855421687;0,0518072289156627;0,00240963855421687;0,00481927710843374
Margarine og fedtstoffer;91;2;0;0;93;0,978494623655914;0,021505376344086;0;0
Mejeriprodukter;413;27;0;0;440;0,938636363636364;0,0613636363636364;0;0
Mel, stivelse og pasta;118;0;1;0;119;0,991596638655462;0;0,00840336134453781;0
Osteforretninger m.m.;563;29;3;5;600;0,938333333333333;0,0483333333333333;0,005;0,00833333333333333
Postordre- og internetsalg m.m. ;1151;68;11;15;1245;0,924497991967872;0,0546184738955823;0,00883534136546185;0,0120481927710843
Salater, dressinger m.m.;50;7;0;1;58;0,862068965517241;0,120689655172414;0;0,0172413793103448
Slagtere, slagterafdelinger;4451;248;7;31;4737;0,939624234747731;0,0523538104285413;0,00147772852016044;0,00654422630356766
Slagterier og opskæring;745;25;4;2;776;0,960051546391753;0,0322164948453608;0,00515463917525773;0,00257731958762887
Mobile salgssteder;1613;125;11;13;1762;0,915437003405221;0,0709421112372304;0,00624290578887628;0,00737797956867196
Te og kaffe;116;10;1;0;127;0,913385826771654;0,078740157480315;0,0078740157480315;0
Transport;2262;147;0;4;2413;0,937422295897223;0,0609200165768753;0;0,00165768752590137
Vinforretninger;980;111;4;6;1101;0,890099909173479;0,100817438692098;0,0036330608537693;0,00544959128065395
Værtshuse og bodegaer;4687;574;39;91;5391;0,86941198293452;0,106473752550547;0,00723427935447969;0,0168799851604526
Æg;14;2;0;0;16;0,875;0,125;0;0
Øl, vand og spiritus;505;19;0;0;524;0,963740458015267;0,0362595419847328;0;0
Transport, detail;826;30;0;4;860;0,96046511627907;0,0348837209302326;0;0,00465116279069767
Grillbarer, pølsevogne m.m.;23349;1663;31;171;25214;0,926033156183073;0,0659554215911795;0,00122947568810978;0,00678194653763782
Bo- og væresteder m.m.;8681;847;4;36;9568;0,907295150501672;0,0885242474916388;0,000418060200668896;0,00376254180602007
Apoteker og materialister;2066;168;11;37;2282;0,905346187554776;0,0736196319018405;0,00482033304119194;0,0162138475021911
Aromaer, tilsætningsstoffer, kulturer og enzymer;164;4;0;0;168;0,976190476190476;0,0238095238095238;0;0
Automater;173;8;0;0;181;0,955801104972376;0,0441988950276243;0;0
Bagere og bagerafdelinger;3732;381;11;61;4185;0,891756272401434;0,0910394265232975;0,0026284348864994;0,0145758661887694
Brød, kager og kiks;383;36;1;2;422;0,907582938388626;0,0853080568720379;0,0023696682464455;0,004739336492891
Børneinstitutioner;9508;906;9;32;10455;0,909421329507413;0,0866571018651363;0,000860832137733142;0,00306073648971784
Delikatesse og smørrebrød;1701;102;1;7;1811;0,939260077305356;0,056322473771397;0,000552181115405853;0,00386526780784097
Catering og diner transportable;1514;68;2;15;1599;0,946841776110069;0,042526579111945;0,00125078173858662;0,00938086303939963
Chokolade- og konfektureforretninger;1915;192;12;33;2152;0,889869888475836;0,0892193308550186;0,00557620817843866;0,0153345724907063
Færdigretter m.m.;42;2;0;0;44;0,954545454545455;0,0454545454545455;0;0
Virksomheder, engros-branche endnu ikke tildelt;94;19;1;4;118;0,796610169491525;0,161016949152542;0,00847457627118644;0,0338983050847458
Virksomheder, detail-branche endnu ikke tildelt;381;78;4;8;471;0,808917197452229;0,165605095541401;0,00849256900212314;0,0169851380042463
Chokolade, sukkervarer og honning;235;10;0;1;246;0,955284552845528;0,040650406504065;0;0,0040650406504065
