pixibranche,Bedst,God,Dårlig,Slemt
Dagligvarer,4949,106,8,16
Lagre og grossister uden produktion,3501,60,9,14
"Restauranter, pizzeriaer, kantiner m.m.",14742,462,9,41
Øvrige,327,5,0,0
Emballager m.v.,502,3,0,0
Fabriksfartøjer,48,0,0,0
Fisk og muslinger m.m.,214,6,0,1
"Fiske- og vildtforretninger, fiskeafdelinger",422,7,0,3
Frugt- og grøntforretninger,301,6,0,1
"Frugt og grøntsager (forarbejdning, konservering)",116,5,1,0
Hospitals- og institutionskøkkener,1185,14,0,0
Keramikere og anden emballage,191,3,0,0
Kiosker,1541,10,3,5
Kosttilskud og særlig ernæring,33,1,0,0
Krydderier,26,2,0,0
Kødprodukter,205,7,1,0
Margarine og fedtstoffer,23,1,0,0
Mejeriprodukter,106,6,0,0
"Mel, stivelse og pasta",31,0,0,0
Osteforretninger m.m.,157,1,0,0
Postordre- og internetsalg m.m. ,636,2,2,0
"Salater, dressinger m.m.",14,1,0,0
"Slagtere, slagterafdelinger",1181,39,1,6
Slagterier og opskæring,187,7,1,1
Mobile salgssteder,717,5,1,0
Te og kaffe,32,2,0,0
Transport,988,13,0,0
Vinforretninger,461,11,0,0
Værtshuse og bodegaer,1923,23,0,2
Æg,4,0,0,0
"Øl, vand og spiritus",141,5,0,0
"Transport, detail",441,1,0,1
"Grillbarer, pølsevogne m.m.",6820,152,2,17
Bo- og væresteder m.m.,2622,86,0,3
Apoteker og materialister,940,2,4,1
"Aromaer, tilsætningsstoffer, kulturer og enzymer",43,0,0,0
Automater,69,0,0,0
Bagere og bagerafdelinger,1108,33,0,4
"Brød, kager og kiks",104,10,0,0
Børneinstitutioner,2879,41,0,1
Delikatesse og smørrebrød,470,10,0,0
Catering og diner transportable,424,9,0,4
Chokolade- og konfektureforretninger,668,21,3,4
Færdigretter m.m.,12,1,0,0
"Virksomheder, engros-branche endnu ikke tildelt",54,13,1,2
"Virksomheder, detail-branche endnu ikke tildelt",215,42,2,6
"Chokolade, sukkervarer og honning",65,2,0,0
